isolate	2010-10-04	2011-01-25	2011-10-05	2011-10-12	2012-01-11
Isolate_00005	0.6762701102739727	0.26998438523809526	0.6909885090909091	0.6705279	0.64166588
Isolate_00010	0.2932205363565891	0.17282574693548386	0.3281348821965318	0.31949542953757226	0.32058273850574714
Isolate_00023	1.3361865267105264	0.3064878405970149	0.738364012739726	0.7347702395890411	0.7390086323170731
Isolate_00028	0.32520627603305785	0.11786316711538461	0.22958387796460178	0.23292907736842106	0.2556173387387387
Isolate_00033	0.5361654046027398	0.32954558624573377	0.6627971261132075	0.6504392463326654	0.7418280556910569
Isolate_00052A	2.0693301171794873	0.5436457529799427	0.5703437752777778	0.6524744694736843	0.9783457262686567
Isolate_00062	0.22804628396226415	0.47957777198347107	0.7883380144827586	0.9721431490441177	1.2884373488636365
Isolate_00064	0.35121010131578945	0.24697055505263157	0.580729912037037	0.5717476796825397	0.8120946532258064
Isolate_00065	0.15299927604477612	0.2054585576984127	0.2814466555	0.4663149613669065	0.49347321227941177
Isolate_00072A	0.1726043923188406	0.3522897898630137	0.5426958578409091	0.71620146	0.8214184341573033
Isolate_00073	0.9443932403794038	0.36114578487356325	0.4582731332146295	0.5151666105947955	0.6696644926875001
Isolate_00102	0.5906380888461539	0.5539277761538461	1.3046691403571429	1.358314917090909	1.6509208466037737
Isolate_00160B	0.2687013996491228	0.08119726378947369	0.20885516194444445	0.20789964575757575	0.20917964963963964
Isolate_00164	0.25453459789473687	0.4828504500877193	0.801947681	0.8896255680327869	1.1363484349593496
Isolate_00201	0.5934264146956522	0.6430586850537635	0.4050381879661017	0.39244960824561403	0.8162434355555556
Isolate_00201A	0.33709535501960786	0.5645836232747252	0.34411139632286997	0.531083621938326	0.4482818537614679
Isolate_00204	0.5746151029032258	0.2814606081666667	0.8455673938235294	0.7948110014285714	0.9393343718309859
Isolate_00204C	0.4506895883625731	0.34235673701492536	0.704115291488372	0.6813618561395349	0.7951394310344828
Isolate_00212C	0.2350691065625	0.4303210973134328	0.6486438922077922	1.2321709233333333	1.0286274482352942
Isolate_00214	0.1813677708839779	0.04236075191666667	0.12793230569767441	0.1304084476331361	0.11896188337209303
Isolate_00216B	0.23645220214634147	0.06337806584	0.13471841653631286	0.14280416668539325	0.13834402298850576
Isolate_00249	0.7590072258823529	0.388920974	0.4680792125	0.5720453193548387	0.8101521137931035
Isolate_00252A	0.3052307117518248	0.43946793888	0.6731428294674556	0.7288361246783626	0.7173184739884393
Isolate_00253	0.6764039779607843	0.5715894965457184	0.7001269017787418	0.8591525404656319	1.080604473352999
Isolate_00254	1.6299982193162392	7.270768193550296	2.43651810893401	1.9364216473134328	1.507129077371134
Isolate_00255	0.5965746558139535	1.7201680568181819	4.439606663829787	4.4258974130434785	3.4316088125
Isolate_00259	1.3733769148101267	1.0609059152882205	3.6372593567028986	3.865978797080292	7.117051441538462
Isolate_00260	0.37121978263157895	0.31369423859649126	0.5153446224137931	0.519206869	0.7380304084722222
Isolate_00261	0.41942126714285716	0.16721319361842105	0.407569556741573	0.41100109531791906	0.42636004437125746
Isolate_00350B	0.10691714051724138	0.06923638285714286	0.16013145220338984	0.19317164559322034	0.23692281169491525
